Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
SAMD3		bA73O6.2, FLJ34032	protein-coding gene	ENSG00000164483
SAMD4A	SAMD4	KIAA1053, DKFZP434H0350, Smaug, SMG, SMGA, hSmaug1	protein-coding gene	ENSG00000020577
SAMD4B		FLJ10211, MGC99832, SMGB, hSmaug2	protein-coding gene	ENSG00000179134
SAMD5		dJ875H10.1	protein-coding gene	ENSG00000203727
SAMD7		DKFZp686E1583	protein-coding gene	ENSG00000187033
SAMD8		FLJ25082, SMSr	protein-coding gene	ENSG00000156671
SAMD9	C7orf5	KIAA2004, FLJ20073	protein-coding gene	ENSG00000205413
SAMD9L	C7orf6	KIAA2005, FLJ39885	protein-coding gene	ENSG00000177409
SAMD10	C20orf136		protein-coding gene	ENSG00000130590
SAMD11		MGC45873	protein-coding gene	ENSG00000187634
SAMD11P1			pseudogene	ENSG00000262480
SAMD12		FLJ39458	protein-coding gene	ENSG00000177570
SAMD12-AS1	C8orf26, NCRNA00252		non-coding RNA	ENSG00000281641
SAMD13			protein-coding gene	ENSG00000203943
SAMD14		FLJ36890	protein-coding gene	ENSG00000167100
SAMD15	FAM15A, C14orf174	FLJ35963	protein-coding gene	ENSG00000100583
SAMHD1		SBBI88, Mg11, HDDC1, MOP-5, AGS5	protein-coding gene	ENSG00000101347
SAMM50		CGI-51, TRG-3, YNL026W, OMP85, TOB55, SAM50	protein-coding gene	ENSG00000100347
SAMM50P1			pseudogene	ENSG00000224488
SAMMSON	LINC01212		non-coding RNA	ENSG00000240405
SAMSN1		NASH1, SASH2, SH3D6B, HACS1, SLy2	protein-coding gene	ENSG00000155307
SAMSN1-AS1			non-coding RNA	ENSG00000223662
SAP1			other	
SAP2			other	
SAP18		SAP18p, 2HOR0202, MGC27131	protein-coding gene	ENSG00000150459
SAP18P1			pseudogene	ENSG00000249777
SAP18P2			pseudogene	ENSG00000223873
SAP18P3			pseudogene	ENSG00000230697
SAP25		FLJ00248	protein-coding gene	ENSG00000205307
SAP30			protein-coding gene	ENSG00000164105
SAP30-DT		ENST00000608794	non-coding RNA	ENSG00000272870
SAP30BP		HCNGP, HTRG, HTRP	protein-coding gene	ENSG00000161526
SAP30L		FLJ11526, NS4ATP2	protein-coding gene	ENSG00000164576
SAP30L-AS1		FLJ38109, GALNT10-AS1	non-coding RNA	ENSG00000245275
SAP130		FLJ12761	protein-coding gene	ENSG00000136715
SAPCD1	C6orf26	NG23	protein-coding gene	ENSG00000228727
SAPCD1-AS1	C6orf26-AS1		non-coding RNA	ENSG00000235663
SAPCD2	C9orf140	p42.3	protein-coding gene	ENSG00000186193
SAPCD2P1			pseudogene	ENSG00000213644
SAPCD2P2			pseudogene	ENSG00000235368
SAPCD2P3			pseudogene	ENSG00000232491
SAPCD2P4			pseudogene	ENSG00000234312
SAPK3			other	
SAR1A	SARA1	SAR1, Sara	protein-coding gene	ENSG00000079332
SAR1AP1	SARAP, SAR1P1	hsSARA-p, SARAP1, dJ88J8.3	pseudogene	ENSG00000228364
SAR1AP2	SAR1P2	Em:AC026226.2, SARA1P	pseudogene	ENSG00000213170
SAR1AP3	SAR1P3		pseudogene	ENSG00000225665
SAR1AP4			pseudogene	ENSG00000233063
SAR1B	SARA2		protein-coding gene	ENSG00000152700
SARAF	TMEM66	MGC8721	protein-coding gene	ENSG00000133872
SARDH	DMGDHL1	SDH	protein-coding gene	ENSG00000123453
SARM1		SARM, SAMD2, KIAA0524	protein-coding gene	ENSG00000004139
SARNP		THO1, Hcc-1, CIP29	protein-coding gene	ENSG00000205323
SARS1	SARS	SERS	protein-coding gene	ENSG00000031698
SARS2	SARSM	FLJ20450, mtSerRS, SerRSmt, SARS, SERS, SYS	protein-coding gene	ENSG00000104835
SARSM			other	
SART1		Ara1, Snu66, SNRNP110, HAF	protein-coding gene	ENSG00000175467
SART3		KIAA0156, RP11-13G14, TIP110, p110	protein-coding gene	ENSG00000075856
SASH1		KIAA0790, dJ323M4.1, SH3D6A	protein-coding gene	ENSG00000111961
SASH3	CXorf9	SLY, 753P9, SH3D6C, HACS2	protein-coding gene	ENSG00000122122
SASS6		DKFZp761A078, SAS-6, FLJ22097, SAS6	protein-coding gene	ENSG00000156876
SAT1	SAT	SSAT	protein-coding gene	ENSG00000130066
SAT2		SSAT2	protein-coding gene	ENSG00000141504
SATB1			protein-coding gene	ENSG00000182568
SATB1-AS1			non-coding RNA	ENSG00000228956
SATB1P1			pseudogene	
SATB2		KIAA1034, FLJ21474	protein-coding gene	ENSG00000119042
SATB2-AS1			non-coding RNA	ENSG00000225953
SATL1			protein-coding gene	ENSG00000184788
SAV1		WW45, WWP4, salvador	protein-coding gene	ENSG00000151748
SAX1		SPAX1	phenotype	
SAX2		SPAX2	phenotype	
SAXO1	C9orf138, FAM154A	MGC35182	protein-coding gene	ENSG00000155875
SAXO2	FAM154B	DKFZp666G057	protein-coding gene	ENSG00000188659
SAYSD1	C6orf64	FLJ11101	protein-coding gene	ENSG00000112167
SBDS		CGI-97, FLJ10917, SDS, SWDS	protein-coding gene	ENSG00000126524
SBDSP1	SBDSP		pseudogene	ENSG00000225648
SBF1		MTMR5, DENND7A	protein-coding gene	ENSG00000100241
SBF1P1			pseudogene	ENSG00000248522
SBF1P2			pseudogene	ENSG00000224904
SBF2	CMT4B2	KIAA1766, MTMR13, DENND7B	protein-coding gene	ENSG00000133812
SBF2-AS1			non-coding RNA	ENSG00000246273
SBK1		Sbk	protein-coding gene	ENSG00000188322
SBK2		SGK069	protein-coding gene	ENSG00000187550
SBK3		SgK110	protein-coding gene	ENSG00000231274
SBMA			other	
SBNO1		MOP3, FLJ10701, FLJ10833, Sno	protein-coding gene	ENSG00000139697
SBNO1-AS1			non-coding RNA	ENSG00000256092
SBNO2	KIAA0963	FLJ00173, Stno, Sno	protein-coding gene	ENSG00000064932
SBSN		UNQ698, HLAR698	protein-coding gene	ENSG00000189001
SBSPON	C8orf84	RPESP	protein-coding gene	ENSG00000164764
SC			phenotype	
SC4MOP		DESP4P1	pseudogene	ENSG00000224339
SC5D	SC5DL		protein-coding gene	ENSG00000109929
SCA3			other	
SCA4	SCA4		other	
SCA5			other	
SCA6			other	
SCA9			phenotype	
SCA11	SCA11		other	
SCA12		PPP2R2B	other	
SCA13			phenotype	
SCA14			phenotype	
SCA15	SCA15		phenotype	
SCA16	SCA16		other	
SCA17			other	
SCA18		SMNA	phenotype	
SCA19			phenotype	
SCA20			phenotype	
SCA21			phenotype	
SCA22			phenotype	
SCA23		ADCA	phenotype	
SCA25			phenotype	
SCA26			phenotype	
SCA28			phenotype	
SCA29		ACV	phenotype	
SCA30			phenotype	
SCA31			phenotype	
SCA32			phenotype	
SCA34			phenotype	
SCA37			phenotype	
SCA38			phenotype	
SCAANT1		ATXN7-AS1	non-coding RNA	ENSG00000280620
SCAF#			other	
SCAF1		SR-A1, FLJ00034	protein-coding gene	ENSG00000126461
SCAF4	SFRS15	KIAA1172, DKFZp434E098, SRA4	protein-coding gene	ENSG00000156304
SCAF8	RBM16	KIAA1116	protein-coding gene	ENSG00000213079
SCAF11	SFRS2IP, SRSF2IP	SIP1, SRRP129, CASP11	protein-coding gene	ENSG00000139218
SCAI	C9orf126	FLJ36664, NET40	protein-coding gene	ENSG00000173611
SCAMP1		SCAMP37	protein-coding gene	ENSG00000085365
SCAMP1-AS1			non-coding RNA	ENSG00000245556
SCAMP2			protein-coding gene	ENSG00000140497
SCAMP3	C1orf3		protein-coding gene	ENSG00000116521
SCAMP4		FLJ33847	protein-coding gene	ENSG00000227500
SCAMP5		MGC24969	protein-coding gene	ENSG00000198794
SCAND1		SDP1, RAZ1	protein-coding gene	ENSG00000171222
SCAND2P	SCAND2		pseudogene	ENSG00000176700
SCAND3P1			pseudogene	ENSG00000232795
SCAP		KIAA0199	protein-coding gene	ENSG00000114650
SCAPER	ZNF291	Zfp291	protein-coding gene	ENSG00000140386
SCAR1		AOA2	phenotype	
SCAR2	CLA1		phenotype	
SCAR3			phenotype	
SCAR5		CAMOS	phenotype	
SCAR6		CLA4, CLA3	phenotype	
SCAR7			phenotype	
SCARA3		CSR1, CSR, MSLR1, APC7, MSRL1	protein-coding gene	ENSG00000168077
SCARA5		FLJ23907, MGC45780, NET33	protein-coding gene	ENSG00000168079
SCARB1	CD36L1	SRB1, CLA-1, CLA1, SR-BI	protein-coding gene	ENSG00000073060
SCARB2	CD36L2	HLGP85, LIMPII, SR-BII, LIMP-2	protein-coding gene	ENSG00000138760
SCARF1		SREC, KIAA0149, SREC1	protein-coding gene	ENSG00000074660
SCARF2		SREC-II, SREC2, HUMZD58C02	protein-coding gene	ENSG00000244486
SCARNA1		ACA35	non-coding RNA	ENSG00000252947
SCARNA2		mgU2-25/61, HBII-382	non-coding RNA	ENSG00000278249
SCARNA3		HBI-100	non-coding RNA	ENSG00000252906
SCARNA4		ACA26	non-coding RNA	ENSG00000280466
SCARNA5		U87	non-coding RNA	ENSG00000252010
SCARNA6		U88	non-coding RNA	ENSG00000251791
SCARNA7		U90	non-coding RNA	ENSG00000238741
SCARNA8		U92	non-coding RNA	ENSG00000251733
SCARNA9		mgU2-19/30, Z32	non-coding RNA	ENSG00000254911
SCARNA9L			pseudogene	
SCARNA10		U85	non-coding RNA	ENSG00000239002
SCARNA11		ACA57	non-coding RNA	ENSG00000251898
SCARNA12		U89	non-coding RNA	ENSG00000238795
SCARNA13		U93	non-coding RNA	ENSG00000252481
SCARNA14		U100	non-coding RNA	ENSG00000252712
SCARNA15		ACA45	non-coding RNA	ENSG00000277864
SCARNA16		ACA47	non-coding RNA	ENSG00000275143
SCARNA17		mgU12-22/U4-8, U91	non-coding RNA	ENSG00000251992
SCARNA18		U109, SCARNA18A	non-coding RNA	ENSG00000238835
SCARNA18B			non-coding RNA	
SCARNA20		ACA66	non-coding RNA	ENSG00000252577
SCARNA21		ACA68, SCARNA21A	non-coding RNA	ENSG00000252835
SCARNA21B			non-coding RNA	
SCARNA22		ACA11	non-coding RNA	ENSG00000249784
SCARNA23		ACA12	non-coding RNA	ENSG00000251869
SCARNA26A			non-coding RNA	
SCARNA26B			non-coding RNA	
SCARNA27			non-coding RNA	
SCARNA28		ZL1	non-coding RNA	
SCART1		CD163c-alpha	other	ENSG00000214279
SCASI	SCA24	SCAR4	phenotype	
SCAT1	LINC02081	CTD-2357A8.3, XLOC_012582	non-coding RNA	ENSG00000267123
SCAT2		CBX5-AS1	non-coding RNA	ENSG00000257596
SCAT8		EYS-AS1	non-coding RNA	ENSG00000236345
SCAX1	CLA2		phenotype	
SCAX2			phenotype	
SCAX3			phenotype	
SCAX4			phenotype	
SCC			other	
SCCA1			other	
SCCA2			other	
SCCD			phenotype	
SCCPDH		CGI-49, NET11	protein-coding gene	ENSG00000143653
SCD	SCDOS	FADS5	protein-coding gene	ENSG00000099194
SCD5	SCD4	ACOD4, FLJ21032, FADS4, HSCD5	protein-coding gene	ENSG00000145284
SCDOS			protein-coding gene	
SCDP1	SCDP		pseudogene	ENSG00000226549
SCEL		FLJ21667, MGC22531	protein-coding gene	ENSG00000136155
SCEL-AS1			non-coding RNA	ENSG00000224347
SCFD1	C14orf163	RA410, KIAA0917, STXBP1L2, SLY1	protein-coding gene	ENSG00000092108
SCFD2		STXBP1L1, FLJ39514	protein-coding gene	ENSG00000184178
SCG1			other	
SCG2		CHGC, SgII, SN	protein-coding gene	ENSG00000171951
SCG3		SgIII, FLJ90833	protein-coding gene	ENSG00000104112
SCG5	SGNE1	7B2, SgV	protein-coding gene	ENSG00000166922
SCG5-AS1			non-coding RNA	ENSG00000241818
SCGB1A1	UGB	CC10, CCSP, CC16	protein-coding gene	ENSG00000149021
SCGB1B1P		Abpa1p	pseudogene	
SCGB1B2P		SCGB4A1P	pseudogene	ENSG00000268751
SCGB1B3P	SCGB1B3	SCGB4A4	pseudogene	
SCGB1C1		RYD5	protein-coding gene	ENSG00000188076
SCGB1C2			protein-coding gene	ENSG00000268320
SCGB1D1		LPHA, LIPA, MGC71958	protein-coding gene	ENSG00000168515
SCGB1D2		LPHB, LIPB	protein-coding gene	ENSG00000124935
SCGB1D4		IIS	protein-coding gene	ENSG00000197745
SCGB1D5P	SCGB1D1P1		pseudogene	ENSG00000248287
SCGB2A1	MGB2	UGB3, LPHC, MGC71973	protein-coding gene	ENSG00000124939
SCGB2A2	MGB1, PSBP1	UGB2, MGC71974	protein-coding gene	ENSG00000110484
SCGB2B1P		Abpbg1p	pseudogene	
SCGB2B2	SCGBL	SCGB4A2	protein-coding gene	ENSG00000205209
SCGB2B3P		C2B, SCGB4A3P	pseudogene	ENSG00000269811
SCGB3A1		UGRP2, HIN-1, HIN1, LU105, PnSP-2	protein-coding gene	ENSG00000161055
SCGB3A2		UGRP1, LU103, PNSP1	protein-coding gene	ENSG00000164265
SCGN		SECRET, DJ501N12.8, SEGN, CALBL	protein-coding gene	ENSG00000079689
SCHIP1		SCHIP-1	protein-coding gene	ENSG00000151967
SCHLAP1	LINC00913	PCAT11	non-coding RNA	ENSG00000281131
SCIDA		A-SCID	other	
SCIDX1			other	
SCIMP	C17orf87	DTFT5783, UNQ5783, FLJ32580, MGC163426, MGC163428	protein-coding gene	ENSG00000161929
SCIN		KIAA1905	protein-coding gene	ENSG00000006747
SCKL2			phenotype	
SCKL3			phenotype	
SCLT1		hCAP-1A, FLJ30655	protein-coding gene	ENSG00000151466
SCLY		SCL	protein-coding gene	ENSG00000132330
SCMH1		Scml3	protein-coding gene	ENSG00000010803
SCML1			protein-coding gene	ENSG00000047634
SCML2			protein-coding gene	ENSG00000102098
SCML2P1			pseudogene	ENSG00000264127
SCML2P2			pseudogene	ENSG00000271105
SCML4		dJ47M23.1	protein-coding gene	ENSG00000146285
SCN1A	SCN1, FEB3	Nav1.1, GEFSP2, HBSCI, NAC1, SMEI	protein-coding gene	ENSG00000144285
SCN1A-AS1			non-coding RNA	ENSG00000236107
SCN1B			protein-coding gene	ENSG00000105711
SCN2A	SCN2A1, SCN2A2	Nav1.2, HBSCII, HBSCI	protein-coding gene	ENSG00000136531
SCN2A1	SCN2A, SCN2A1	HBSCI	protein-coding gene	
SCN2B			protein-coding gene	ENSG00000149575
SCN3A		Nav1.3	protein-coding gene	ENSG00000153253
SCN3B		HSA243396	protein-coding gene	ENSG00000166257
SCN4A	HYKPP	Nav1.4, HYPP, SkM1	protein-coding gene	ENSG00000007314
SCN4B		LQT10	protein-coding gene	ENSG00000177098
SCN5A	CMD1E	Nav1.5, LQT3, HB1, HBBD, PFHB1, IVF, HB2, HH1, SSS1, CDCD2, CMPD2, ICCD	protein-coding gene	ENSG00000183873
SCN6A			other	
SCN7A	SCN6A	Nav2.1, Nav2.2, NaG	protein-coding gene	ENSG00000136546
SCN8A	MED	Nav1.6, NaCh6, PN4, CerIII, CIAT	protein-coding gene	ENSG00000196876
SCN9A		Nav1.7, PN1, NE-NA, NENA, ETHA	protein-coding gene	ENSG00000169432
SCN10A		Nav1.8, hPN3, SNS, PN3	protein-coding gene	ENSG00000185313
SCN11A	SCN12A	Nav1.9, NaN, SNS-2	protein-coding gene	ENSG00000168356
SCN12A			other	
SCNM1		MGC3180	protein-coding gene	ENSG00000163156
SCNN1			other	
SCNN1A	SCNN1	ENaCalpha	protein-coding gene	ENSG00000111319
SCNN1B		ENaCbeta	protein-coding gene	ENSG00000168447
SCNN1D		ENaCdelta, dNaCh	protein-coding gene	ENSG00000162572
SCNN1G		ENaCgamma, SCNEG	protein-coding gene	ENSG00000166828
SCO1	SCOD1		protein-coding gene	ENSG00000133028
SCO2	MYP6	SCO1L	protein-coding gene	ENSG00000284194
SCOC		HRIHFB2072, SCOCO, UNC-69	protein-coding gene	ENSG00000153130
SCOC-AS1			non-coding RNA	ENSG00000196951
SCOCP1			pseudogene	ENSG00000258896
SCOD1			other	
SCP2			protein-coding gene	ENSG00000116171
SCP2D1	C20orf79	dJ1068E13.2, HSD22	protein-coding gene	ENSG00000132631
SCP2D1-AS1	C20orf78	dJ1068E13.1	non-coding RNA	ENSG00000149443
SCPEP1		RISC	protein-coding gene	ENSG00000121064
SCRG1		SCRG-1	protein-coding gene	ENSG00000164106
SCRIB		KIAA0147, SCRB1, Vartul	protein-coding gene	ENSG00000180900
SCRN1		KIAA0193	protein-coding gene	ENSG00000136193
SCRN2			protein-coding gene	ENSG00000141295
SCRN3		FLJ23142	protein-coding gene	ENSG00000144306
SCRT1		DKFZp547F072, ZNF898	protein-coding gene	ENSG00000261678
SCRT2		ZNF898B	protein-coding gene	ENSG00000215397
SCT			protein-coding gene	ENSG00000070031
SCTR			protein-coding gene	ENSG00000080293
SCTR-AS1			non-coding RNA	ENSG00000231013
SCUBE1			protein-coding gene	ENSG00000159307
SCUBE1-AS1			non-coding RNA	ENSG00000203527
SCUBE1-AS2			non-coding RNA	ENSG00000236272
SCUBE2		Cegf1, Cegb1, FLJ16792	protein-coding gene	ENSG00000175356
SCUBE3	CEGF3	FLJ34743	protein-coding gene	ENSG00000146197
SCX	SCXA, SCXB	bHLHa48, bHLHa41	protein-coding gene	ENSG00000260428
SCXA		bHLHa41	protein-coding gene	
SCYAR1			other	
SCYB9B			other	
SCYGR1		KRTAP28-1	protein-coding gene	ENSG00000284629
SCYGR2		KRTAP28-2	protein-coding gene	ENSG00000284643
SCYGR3		KRTAP28-3	protein-coding gene	ENSG00000284704
SCYGR4		KRTAP28-4	protein-coding gene	ENSG00000284631
SCYGR5		KRTAP28-5	protein-coding gene	ENSG00000284667
SCYGR6		KRTAP28-6	protein-coding gene	ENSG00000284725
SCYGR7		KRTAP28-7	protein-coding gene	ENSG00000284718
SCYGR8		KRTAP28-8	protein-coding gene	ENSG00000284635
SCYGR9		KRTAP28p1, KRTAP28-9	protein-coding gene	ENSG00000285843
SCYGR10		KRTAP28p2, KRTAP28-10	protein-coding gene	ENSG00000284622
SCYL1	NTKL	HT019, P105, GKLP, NKTL, TAPK, TRAP, TEIF, MGC78454	protein-coding gene	ENSG00000142186
SCYL2		KIAA1360, CVAK104	protein-coding gene	ENSG00000136021
SCYL2P1			pseudogene	ENSG00000213090
SCYL3		PACE-1, PACE1	protein-coding gene	ENSG00000000457
SCZD1			phenotype	
SCZD2			phenotype	
SCZD3			phenotype	
SCZD4			phenotype	
SCZD5			phenotype	
SCZD6			phenotype	
SCZD7			phenotype	
SCZD8			phenotype	
SCZD9	SCZD9		phenotype	
SCZD10			phenotype	
SD	SD		other	
SDAD1		FLJ10498	protein-coding gene	ENSG00000198301
SDAD1-AS1			non-coding RNA	ENSG00000245928
SDAD1P1			pseudogene	ENSG00000228451
SDAD1P2			pseudogene	ENSG00000230750
SDAD1P3			pseudogene	ENSG00000227707
SDAD1P4			pseudogene	ENSG00000236803
SDC1	SDC	CD138, syndecan, SYND1	protein-coding gene	ENSG00000115884
SDC2	HSPG, HSPG1	fibroglycan, SYND2, CD362	protein-coding gene	ENSG00000169439
SDC3		N-syndecan, SYND3	protein-coding gene	ENSG00000162512
SDC4		SYND4, amphiglycan, ryudocan	protein-coding gene	ENSG00000124145
SDC4P			pseudogene	ENSG00000214161
SDCBP		SYCL, MDA-9	protein-coding gene	ENSG00000137575
SDCBP2		ST-2, SITAC18	protein-coding gene	ENSG00000125775
SDCBP2-AS1			non-coding RNA	ENSG00000234684
SDCBP2P1			pseudogene	ENSG00000223389
SDCBPP1			pseudogene	ENSG00000226705
SDCBPP2			pseudogene	ENSG00000247570
SDCBPP3			pseudogene	ENSG00000232801
SDCCAG8		NY-CO-8, CCCAP, SLSN7, NPHP10, BBS16	protein-coding gene	ENSG00000054282
SDCCAG43		NY-CO-43	other	
SDE2	C1orf55	FLJ35382	protein-coding gene	ENSG00000143751
SDF1A			other	
SDF1B			other	
SDF2			protein-coding gene	ENSG00000132581
SDF2L1		AP000553.C22.4, OTTHUMT00000075032	protein-coding gene	ENSG00000128228
SDF4		Cab45	protein-coding gene	ENSG00000078808
SDGF			other	
SDH1			other	
SDH2			other	
SDHA	SDH2	FP, SDHF	protein-coding gene	ENSG00000073578
SDHAF1		LYRM8	protein-coding gene	ENSG00000205138
SDHAF2	PGL2, C11orf79	FLJ20487, SDH5	protein-coding gene	ENSG00000167985
SDHAF3	ACN9	DC11, Sdh7, LYRM10	protein-coding gene	ENSG00000196636
SDHAF4	C6orf57	Sdh8	protein-coding gene	ENSG00000154079
SDHAP1	SDHAL1, SDHALP1		pseudogene	ENSG00000185485
SDHAP2	SDHAL2, SDHALP2		pseudogene	ENSG00000215837
SDHAP3	SDHAL, SDHACL		pseudogene	ENSG00000185986
SDHB	SDH1, SDH		protein-coding gene	ENSG00000117118
SDHC	PGL3	CYB560, cybL	protein-coding gene	ENSG00000143252
SDHCP1			pseudogene	ENSG00000264444
SDHCP2			pseudogene	ENSG00000214549
SDHCP3			pseudogene	ENSG00000234946
SDHCP4			pseudogene	ENSG00000255035
SDHD	PGL, PGL1	cybS	protein-coding gene	ENSG00000204370
SDHDP1			pseudogene	ENSG00000267162
SDHDP2			pseudogene	ENSG00000227073
SDHDP3			pseudogene	ENSG00000244381
SDHDP4			pseudogene	ENSG00000236930
SDHDP5			pseudogene	ENSG00000229744
SDHDP6			pseudogene	ENSG00000224183
SDHDP7			pseudogene	
SDIM1			protein-coding gene	
SDK1		FLJ31425	protein-coding gene	ENSG00000146555
SDK1-AS1			non-coding RNA	ENSG00000236708
SDK2		FLJ10832, KIAA1514	protein-coding gene	ENSG00000069188
SDR9C7		SDR-O, RDHS	protein-coding gene	ENSG00000170426
SDR16C5		RDHE2, RDH-E2, EPHD-2	protein-coding gene	ENSG00000170786
SDR16C6P	SDR16C6		pseudogene	ENSG00000253542
SDR39U1	C14orf124	HCDI	protein-coding gene	ENSG00000100445
SDR42E1		HSPC105	protein-coding gene	ENSG00000184860
SDR42E1P1			pseudogene	ENSG00000273994
SDR42E1P2			pseudogene	ENSG00000277213
SDR42E1P3			pseudogene	ENSG00000234276
SDR42E1P4			pseudogene	ENSG00000273849
SDR42E1P5			pseudogene	ENSG00000236785
SDR42E2			protein-coding gene	ENSG00000183921
SDS		SDH	protein-coding gene	ENSG00000135094
SDSL		SDS-RS1, cSDH	protein-coding gene	ENSG00000139410
SDU			phenotype	
SDYS			other	
SE			other	
SEA			other	
SEBOX		OG9, OG9X	protein-coding gene	ENSG00000274529
SEC1P			pseudogene	ENSG00000232871
SEC11A	SEC11L1	SPC18, sid2895, SPCS4A	protein-coding gene	ENSG00000140612
SEC11B	SEC11L2	SPCS4B	pseudogene	ENSG00000226098
SEC11C	SEC11L3	SPC21, SPCS4C	protein-coding gene	ENSG00000166562
SEC13	D3S1231E, SEC13L1	SEC13R, npp-20	protein-coding gene	ENSG00000157020
SEC13P1			pseudogene	ENSG00000223899
SEC14L1	SEC14L	PRELID4A	protein-coding gene	ENSG00000129657
SEC14L1P1			pseudogene	ENSG00000213693
SEC14L2	C22orf6	TAP, SPF, KIAA1186, KIAA1658, TAP1	protein-coding gene	ENSG00000100003
SEC14L3		TAP2	protein-coding gene	ENSG00000100012
SEC14L4		TAP3, dJ130H16.5	protein-coding gene	ENSG00000133488
SEC14L5		KIAA0420, PRELID4B	protein-coding gene	ENSG00000103184
SEC14L6			protein-coding gene	ENSG00000214491
SEC16A	KIAA0310	p250, Sec16L	protein-coding gene	ENSG00000148396
SEC16B	LZTR2	RGPR, PGPR-p117, Sec16S	protein-coding gene	ENSG00000120341
SEC22A	SEC22L2		protein-coding gene	ENSG00000121542
SEC22B	SEC22L1	ERS-24	protein-coding gene	ENSG00000265808
SEC22B2P	SEC22B2		pseudogene	ENSG00000274423
SEC22B3P	SEC22B3		pseudogene	ENSG00000275140
SEC22B4P			pseudogene	ENSG00000277406
SEC22C	SEC22L3	MGC13261, MGC5373	protein-coding gene	ENSG00000093183
SEC23A			protein-coding gene	ENSG00000100934
SEC23A-AS1			non-coding RNA	ENSG00000258651
SEC23B	CDAN2	CDA-II, CDAII, HEMPAS	protein-coding gene	ENSG00000101310
SEC23IP		p125	protein-coding gene	ENSG00000107651
SEC24A			protein-coding gene	ENSG00000113615
SEC24AP1			pseudogene	ENSG00000267361
SEC24B			protein-coding gene	ENSG00000138802
SEC24B-AS1		1/2-SBSRNA4	non-coding RNA	ENSG00000247950
SEC24C		KIAA0079	protein-coding gene	ENSG00000176986
SEC24D		KIAA0755	protein-coding gene	ENSG00000150961
SEC31A	SEC31L1	KIAA0905, ABP125, ABP130	protein-coding gene	ENSG00000138674
SEC31B	SEC31L2	SEC31B-1, DKFZP434M183	protein-coding gene	ENSG00000075826
SEC61A1			protein-coding gene	ENSG00000058262
SEC61A2		FLJ10578	protein-coding gene	ENSG00000065665
SEC61B			protein-coding gene	ENSG00000106803
SEC61G		SSS1	protein-coding gene	ENSG00000132432
SEC61G-DT			non-coding RNA	ENSG00000234707
SEC61GP1			pseudogene	ENSG00000224219
SEC62	TLOC1	Dtrp1, HTP1	protein-coding gene	ENSG00000008952
SEC62-AS1			non-coding RNA	ENSG00000240373
SEC63		SEC63L, PRO2507, ERdj2, DNAJC23	protein-coding gene	ENSG00000025796
SEC63D1	SEC63D1	FLJ36760	protein-coding gene	
SEC63P1			pseudogene	ENSG00000228057
SEC63P2			pseudogene	ENSG00000250416
SECISBP2		SBP2	protein-coding gene	ENSG00000187742
SECISBP2L		KIAA0256	protein-coding gene	ENSG00000138593
SECTM1		K12	protein-coding gene	ENSG00000141574
SEDC			other	
SEDL			other	
SEH1L		SEH1A, SEH1B, Seh1, SEC13L	protein-coding gene	ENSG00000085415
SEL1L		IBD2, SEL1L1, Hrd3	protein-coding gene	ENSG00000071537
SEL1L2	C20orf50	DKFZp434C1826	protein-coding gene	ENSG00000101251
SEL1L3		KIAA0746	protein-coding gene	ENSG00000091490
SELE	ELAM1, ELAM	ESEL, CD62E	protein-coding gene	ENSG00000007908
SELENBP1		hSP56, hSBP, LPSB	protein-coding gene	ENSG00000143416
SELENOF		SEP15	protein-coding gene	ENSG00000183291
SELENOH	C11orf31	SELH	protein-coding gene	ENSG00000211450
SELENOI	EPT1	KIAA1724, SELI, SEPI	protein-coding gene	ENSG00000138018
SELENOK		SELK	protein-coding gene	ENSG00000113811
SELENOKP1			pseudogene	ENSG00000267319
SELENOKP2			pseudogene	ENSG00000219532
SELENOKP3			pseudogene	ENSG00000225549
SELENOM		SELM, SEPM	protein-coding gene	ENSG00000198832
SELENON	RSMD1, MDRS1, SEPN1	SELN, RSS	protein-coding gene	ENSG00000162430
SELENOO		SELO	protein-coding gene	ENSG00000073169
SELENOOLP			pseudogene	ENSG00000227932
SELENOP	SEPP1	SeP, SELP, SEPP	protein-coding gene	ENSG00000250722
SELENOS	VIMP	SELS, MGC2553, SBBI8, AD-015, SEPS1	protein-coding gene	ENSG00000131871
SELENOT		SELT	protein-coding gene	ENSG00000198843
SELENOTP1			pseudogene	ENSG00000233846
SELENOTP2			pseudogene	ENSG00000271585
SELENOV		SELV	protein-coding gene	ENSG00000186838
SELENOW	SEPW1	SELW	protein-coding gene	ENSG00000178980
SELENOWP1	SEPW1P		pseudogene	ENSG00000215900
SELL	LYAM1, LNHR	LSEL, LAM1, LAM-1, hLHRc, Leu-8, Lyam-1, PLNHR, CD62L	protein-coding gene	ENSG00000188404
SELP	GRMP	CD62, PSEL, PADGEM, GMP140, CD62P	protein-coding gene	ENSG00000174175
SELPLG		PSGL-1, CD162	protein-coding gene	ENSG00000110876
SEM1	SHFD1, SHFM1, C7orf76	DSS1, Shfdg1, ECD, SHSF1, FLJ42280	protein-coding gene	ENSG00000127922
SEM1P1	SHFM1P, SHFM1P1	DSS1P1	pseudogene	ENSG00000214857
SEMA3A	SEMAD	SEMA1, SemD, coll-1, Hsema-I	protein-coding gene	ENSG00000075213
